Id,Brygada,Linia,Id(Pojazdu),CzasStartu
236,4,130,8410,05:42
237,5,130,8411,05:47
238,6,130,8412,05:52
239,7,130,8413,05:57
240,8,130,8414,06:02
241,1,131,8415,05:30
242,2,131,8416,05:35
243,3,131,8417,05:40
244,4,131,8418,05:45
245,5,131,8419,05:50
246,6,131,8420,05:55
247,7,131,8421,06:00
248,8,131,8422,06:05
249,1,132,8423,05:33
250,2,132,8424,05:38
251,3,132,8425,05:43
252,4,132,8426,05:48
253,5,132,8427,05:53
254,6,132,8428,05:58
255,7,132,8429,06:03
256,8,132,8430,06:08
257,1,133,8431,05:36
258,2,133,8432,05:41
259,3,133,8433,05:46
260,4,133,8434,05:51
261,5,133,8435,05:56
262,6,133,8436,06:01
263,7,133,8437,06:06
264,8,133,8438,06:11
265,1,134,8439,05:39
266,2,134,8440,05:44
267,3,134,8441,05:49
268,4,134,8442,05:54
269,5,134,8443,05:59
270,6,134,8444,06:04
271,7,134,8445,06:09
272,8,134,8446,06:14
273,1,142,8447,05:42
274,2,142,8448,05:47
275,3,142,8449,05:52
276,4,142,8450,05:57
277,5,142,8451,06:02
278,6,142,8452,06:07
279,7,142,8453,06:12
280,8,142,8454,06:17
281,1,143,8455,05:45
282,2,143,8456,05:50
283,3,143,8457,05:55
284,4,143,8458,06:00
285,5,143,8459,06:05
286,6,143,8460,06:10
287,7,143,8461,06:15
288,8,143,8462,06:20
289,1,144,8463,05:48
290,2,144,8464,05:53
291,3,144,8465,05:58
292,4,144,8466,06:03
293,5,144,8467,06:08
294,6,144,8468,06:13
295,7,144,8469,06:18
296,8,144,8470,06:23
297,1,145,8471,05:51
298,2,145,8472,05:56
299,3,145,8473,06:01
300,4,145,8474,06:06
301,5,145,8475,06:11
302,6,145,8476,06:16
303,7,145,8477,06:21
304,8,145,8478,06:26
305,1,146,8479,05:54
306,2,146,8480,05:59
307,3,146,8481,06:04
308,4,146,8482,06:09
309,5,146,8483,06:14
310,6,146,8484,06:19
311,7,146,8485,06:24
312,8,146,8486,06:29
313,1,148,8487,05:57
314,2,148,8488,06:02
315,3,148,8489,06:07
316,4,148,8490,06:12
317,5,148,8501,06:17
318,6,148,8502,06:22
319,7,148,8503,06:27
320,8,148,8504,06:32
321,1,149,8505,06:00
322,2,149,8506,06:05
323,3,149,8507,06:10
324,4,149,8508,06:15
325,5,149,8509,06:20
326,6,149,8510,06:25
327,7,149,8511,06:30
328,8,149,8512,06:35
329,1,150,8513,06:03
330,2,150,8514,06:08
331,3,150,8515,06:13
332,4,150,8516,06:18
333,5,150,8517,06:23
334,6,150,8518,06:28
335,7,150,8519,06:33
336,8,150,8520,06:38
337,1,151,8521,06:06
338,2,151,8522,06:11
339,3,151,8523,06:16
340,4,151,8524,06:21
341,5,151,8525,06:26
342,6,151,8526,06:31
343,7,151,8527,06:36
344,8,151,8528,06:41
345,1,152,8529,06:09
346,2,152,8530,06:14
347,3,152,8531,06:19
348,4,152,8532,06:24
349,5,152,8533,06:29
350,6,152,8534,06:34
351,7,152,8535,06:39
352,8,152,8536,06:44
353,1,602,8537,05:13
354,1,607,8537,05:46
